"","inPathway","outPathway"
"TLR3 deficiency - HSE",2,90492
"Advanced glycosylation endproduct receptor signaling",16,90478
"Synthesis of BMP",2,90492
"APOBEC3G mediated resistance to HIV-1 infection",14,90480
"NOTCH2 Activation and Transmission of Signal to the Nucleus",22,90472
"Galactose catabolism",16,90478
"Eicosanoids",25,90469
"RUNX3 regulates YAP1-mediated transcription",27,90467
"Interferon alpha/beta signaling",130,90364
"Recruitment of mitotic centrosome proteins and complexes",80,90414
"Josephin domain DUBs",13,90481
"Mtb iron assimilation by chelation",17,90477
"Conjugation of salicylate with glycine",16,90478
"FGFR2 alternative splicing",26,90468
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion",19,90475
"Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)",2,90492
"Mitotic Prophase",133,90361
"Signaling by NODAL",23,90471
"Phospholipase C-mediated cascade; FGFR3",18,90476
"Loss of proteins required for interphase microtubule organization from the centrosome",71,90423
"Ubiquitin-dependent degradation of Cyclin D",53,90441
"MPS IIIB - Sanfilippo syndrome B",3,90491
"Transfer of LPS from LBP carrier to CD14",3,90491
"Selenoamino acid metabolism",198,90296
"Regulation of insulin secretion",103,90391
"Activation of kainate receptors upon glutamate binding",34,90460
"Common Pathway of Fibrin Clot Formation",25,90469
"Heme degradation",20,90474
"Histidine catabolism",31,90463
"Class A/1 (Rhodopsin-like receptors)",401,90093
"DNA Damage Recognition in GG-NER",40,90454
"G2/M DNA replication checkpoint",7,90487
"Sterols are 12-hydroxylated by CYP8B1",13,90481
"Acyl chain remodeling of DAG and TAG",18,90476
"p38MAPK events",18,90476
"Signaling by NOTCH1 PEST Domain Mutants in Cancer",61,90433
"YAP1- and WWTR1 (TAZ)-stimulated gene expression",34,90460
"Lactose synthesis",25,90469
"Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)",1,90493
"CS/DS degradation",29,90465
"Formation of the beta-catenin:TCF transactivating complex",64,90430
"Signaling by VEGF",381,90113
"CASP8 activity is inhibited",14,90480
"Signaling by FGFR1 in disease",57,90437
"Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)",2,90492
"Ion influx/efflux at host-pathogen interface",13,90481
"Defective ALG6 causes ALG6-CDG (CDG-1c)",2,90492
"Chylomicron assembly",14,90480
"ERBB2 Activates PTK6 Signaling",18,90476
"G beta:gamma signalling through PLC beta",23,90471
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate",13,90481
"Defective DPM2 causes DPM2-CDG (CDG-1u)",2,90492
"mRNA Splicing - Minor Pathway",52,90442
"Negative regulation of MAPK pathway",45,90449
"Defective MMAA causes methylmalonic aciduria type cblA",4,90490
"Transferrin endocytosis and recycling",39,90455
"Class C/3 (Metabotropic glutamate/pheromone receptors)",93,90401
"Ion channel transport",236,90258
"Alpha-oxidation of phytanate",31,90463
"Trafficking and processing of endosomal TLR",16,90478
"MPS IV - Morquio syndrome A",2,90492
"O-linked glycosylation of mucins",74,90420
"Post-translational protein phosphorylation",109,90385
"CREB phosphorylation through the activation of Adenylate Cyclase",12,90482
"PI-3K cascade:FGFR4",25,90469
"PKA-mediated phosphorylation of CREB",25,90469
"Urea cycle",49,90445
"NGF-independant TRKA activation",6,90488
"Hh mutants that don't undergo autocatalytic processing are degraded by ERAD",61,90433
"The canonical retinoid cycle in rods (twilight vision)",56,90438
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",127,90367
"Free fatty acid receptors",29,90465
"mitochondrial fatty acid beta-oxidation of saturated fatty acids",53,90441
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",53,90441
"RNA polymerase II transcribes snRNA genes",80,90414
"Neutrophil degranulation",479,90015
"Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria1",1,90493
"mRNA Splicing",188,90306
"Glycolysis1",119,90375
"Apoptosis1",319,90175
"Formation of annular gap junctions",11,90483
"Defective DPM3 causes DPM3-CDG (CDG-1o)",2,90492
"Competing endogenous RNAs (ceRNAs) regulate PTEN translation",8,90486
"Vitamin B2 (riboflavin) metabolism",17,90477
"Lysosomal glycogen catabolism",6,90488
"Viral mRNA Translation",121,90373
"Oncogenic MAPK signaling",84,90410
"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",4,90490
"Triglyceride biosynthesis",33,90461
"RIPK1-mediated regulated necrosis",28,90466
"Defective SLC26A2 causes chondrodysplasias",2,90492
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",72,90422
"HDMs demethylate histones",32,90462
"ABC transporters in lipid homeostasis",29,90465
"T41 mutants of beta-catenin aren't phosphorylated",16,90478
"Glutathione conjugation",67,90427
"Defective LARGE causes MDDGA6 and MDDGB6",2,90492
"Mitophagy",81,90413
"Mitochondrial transcription initiation",3,90491
"Complex I biogenesis",57,90437
"mRNA Splicing - Major Pathway",180,90314
"PI3K events in ERBB2 signaling",22,90472
"Regulation of IFNA signaling",28,90466
"CDT1 association with the CDC6:ORC:origin complex",59,90435
"FMO oxidises nucleophiles",16,90478
"Signaling by Insulin receptor",349,90145
"SMAD2/3 MH2 Domain Mutants in Cancer",9,90485
"G beta:gamma signalling through PI3Kgamma",52,90442
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",137,90357
"SRP-dependent cotranslational protein targeting to membrane",114,90380
"Neurexins and neuroligins",57,90437
"PKA activation in glucagon signalling",22,90472
"TWIK-related alkaline pH activated K+ channel (TALK)",3,90491
"DCC mediated attractive signaling",19,90475
"Integration of viral DNA into host genomic DNA",9,90485
"SHC1 events in ERBB4 signaling",20,90474
"Defective B3GALTL causes Peters-plus syndrome (PpS)",38,90456
"Formation of selenosugars for excretion",12,90482
"Type II Na+/Pi cotransporters",6,90488
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA",21,90473
"XBP1(S) activates chaperone genes",59,90435
"vRNP Assembly",6,90488
"Gluconeogenesis1",81,90413
"Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",27,90467
"Calmodulin induced events",35,90459
"Regulation of cholesterol biosynthesis by SREBP (SREBF)",65,90429
"cGMP effects",20,90474
"Negative regulation of FGFR1 signaling",39,90455
"Respiratory electron transport",115,90379
"Telomere C-strand (Lagging Strand) Synthesis",38,90456
"Chondroitin sulfate biosynthesis",25,90469
"rRNA modification in the nucleus and cytosol",78,90416
"Death Receptor Signalling",57,90437
"FGFR1 ligand binding and activation",21,90473
"Dectin-1 mediated noncanonical NF-kB signaling",62,90432
"Gap junction trafficking and regulation",54,90440
"Metabolism of steroids",294,90200
"Axonal growth inhibition (RHOA activation)",12,90482
"Glycogen storage disease type Ib (SLC37A4)",2,90492
"Neurotransmitter release cycle",99,90395
"IPs transport between nucleus and ER lumen",1,90493
"Glutathione synthesis and recycling",26,90468
"Regulation of TP53 Expression and Degradation",42,90452
"Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes",5,90489
"FCERI mediated Ca+2 mobilization",129,90365
"GRB2 events in ERBB2 signaling",20,90474
"tRNA modification in the mitochondrion",26,90468
"Dermatan sulfate biosynthesis",13,90481
"Recognition and association of DNA glycosylase with site containing an affected pyrimidine",8,90486
"Receptor Mediated Mitophagy",11,90483
"Heme biosynthesis",48,90446
"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",18,90476
"Cytosolic sensors of pathogen-associated DNA ",88,90406
"Disinhibition of SNARE formation",10,90484
"Synthesis of wybutosine at G37 of tRNA(Phe)",30,90464
"MyD88 deficiency (TLR2/4)",18,90476
"Amino acid synthesis and interconversion (transamination)",80,90414
"Reversal of alkylation damage by DNA dioxygenases",16,90478
"RIP-mediated NFkB activation via ZBP1",30,90464
"Vpu mediated degradation of CD4",53,90441
"Fibronectin matrix formation",7,90487
"Nuclear import of Rev protein",39,90455
"PKA-mediated phosphorylation of key metabolic factors",7,90487
"Signaling by NOTCH4",12,90482
"Transport of the SLBP independent Mature mRNA",37,90457
"Apoptotic factor-mediated response",9,90485
"Glucuronidation1",58,90436
"Diseases of signal transduction",448,90046
"rRNA processing in the mitochondrion",16,90478
"Rap1 signalling",24,90470
"CREB3 factors activate genes",9,90485
"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",21,90473
"Synthesis of IPs in the nucleus",18,90476
"Defective ALG11 causes ALG11-CDG (CDG-1p)",2,90492
"Post NMDA receptor activation events",44,90450
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1",26,90468
"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)",4,90490
"Interaction between L1 and Ankyrins",33,90461
"Ketone body metabolism",30,90464
"Synthesis of PA",65,90429
"HDL remodeling",24,90470
"Chondroitin sulfate/dermatan sulfate metabolism",73,90421
"Class B/2 (Secretin family receptors)",97,90397
"Extrinsic Pathway of Fibrin Clot Formation",6,90488
"Unfolded Protein Response (UPR)",99,90395
"Organic cation/anion/zwitterion transport",51,90443
"G2/M DNA damage checkpoint",81,90413
"RORA activates gene expression",33,90461
"Glycerophospholipid catabolism",18,90476
"FGFR3c ligand binding and activation",18,90476
"LGI-ADAM interactions",14,90480
"Thrombin signalling through proteinase activated receptors (PARs)",35,90459
"Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)1",2,90492
"Telomere C-strand synthesis initiation",17,90477
"Negative regulation of MET activity",25,90469
"PIWI-interacting RNA (piRNA) biogenesis",33,90461
"Defective B4GALT7 causes EDS, progeroid type",20,90474
"Defective PAPSS2 causes SEMD-PA",3,90491
"Influenza Viral RNA Transcription and Replication",174,90320
"Methionine salvage pathway",25,90469
"Aquaporin-mediated transport",66,90428
"Activation of GABAB receptors",45,90449
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",8,90486
"RAB geranylgeranylation",68,90426
"Signalling to ERKs",287,90207
"Signaling by NOTCH1 in Cancer",61,90433
"Phosphorylation of Emi1",8,90486
"Hh mutants abrogate ligand secretion",63,90431
"Retrograde transport at the Trans-Golgi-Network",55,90439
"Tight junction interactions",30,90464
"Transcription of E2F targets under negative control by DREAM complex",19,90475
"Signaling by RAS mutants",57,90437
"Late Phase of HIV Life Cycle",159,90335
"Metabolism of fat-soluble vitamins",89,90405
"HHAT G278V abrogates palmitoylation of Hh-Np",3,90491
"MET activates RAS signaling",15,90479
"Vesicle-mediated transport",826,89668
"Formation of Fibrin Clot (Clotting Cascade)",43,90451
"P2Y receptors",18,90476
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",327,90167
"Protein methylation",19,90475
"Glucagon signaling in metabolic regulation",39,90455
"G-protein activation",30,90464
"Synthesis of Ketone Bodies",23,90471
"Acetylation",16,90478
"Creation of C4 and C2 activators",111,90383
"Defective SLC6A2 causes orthostatic intolerance (OI)",2,90492
"SHC-mediated cascade:FGFR1",29,90465
"MAP3K8 (TPL2)-dependent MAPK1/3 activation",18,90476
"Multifunctional anion exchangers",19,90475
"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)",2,90492
"Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks",66,90428
"Purine ribonucleoside monophosphate biosynthesis",49,90445
"Metabolism of non-coding RNA",59,90435
"Signaling by high-kinase activity BRAF mutants",46,90448
"Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)",2,90492
"Metabolism of polyamines",144,90350
"Processing of SMDT1",17,90477
"Tat-mediated HIV elongation arrest and recovery",39,90455
"G2/M Checkpoints",154,90340
"tRNA processing in the nucleus",70,90424
"Uptake and function of anthrax toxins",22,90472
"Establishment of Sister Chromatid Cohesion",13,90481
"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain",23,90471
"Calnexin/calreticulin cycle",41,90453
"Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)",2,90492
"Metalloprotease DUBs",32,90462
"Wax biosynthesis",17,90477
"MPS II - Hunter syndrome",3,90491
"Constitutive Signaling by AKT1 E17K in Cancer",32,90462
"Transcriptional regulation by RUNX3",121,90373
"Mitotic G2-G2/M phases",207,90287
"Deadenylation-dependent mRNA decay",67,90427
"Interactions of Rev with host cellular proteins",43,90451
"Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)",3,90491
"The NLRP1 inflammasome",5,90489
"TFAP2 (AP-2) family regulates transcription of growth factors and their receptors",13,90481
"E2F-enabled inhibition of pre-replication complex formation",9,90485
"PTK6 Down-Regulation",7,90487
"Cell Cycle1",691,89803
"Organic anion transport",13,90481
"AXIN mutants destabilize the destruction complex, activating WNT signaling",14,90480
"Electron transport from NADPH to Ferredoxin",10,90484
"Signaling by FGFR4 in disease",18,90476
"Synthesis of PE",33,90461
"Synthesis and processing of ENV and VPU",3,90491
"Signaling by NOTCH2",33,90461
"Hyaluronan uptake and degradation",19,90475
"Gene expression (Transcription)",1442,89052
"Oligomerization of connexins into connexons",3,90491
"FGFR3 mutant receptor activation",26,90468
"Regulation of PLK1 Activity at G2/M Transition",92,90402
"Defective MMAB causes methylmalonic aciduria type cblB",2,90492
"Assembly Of The HIV Virion",26,90468
"Small cell lung cancer",87,90407
"Human papillomavirus infection",320,90174
"Chronic myeloid leukemia",72,90422
"Oxidative phosphorylation1",153,90341
"Amyotrophic lateral sclerosis (ALS)1",63,90431
"Vibrio cholerae infection",59,90435
"Biosynthesis of amino acids",127,90367
"Endocytosis",266,90228
"Lysine biosynthesis",37,90457
"Shigellosis",67,90427
"alpha-Linolenic acid metabolism",67,90427
"Glycosaminoglycan biosynthesis",59,90435
"Dilated cardiomyopathy (DCM)",94,90400
"Pathways in cancer",422,90072
"Steroid hormone biosynthesis",157,90337
"Nitrogen metabolism",36,90458
"Systemic lupus erythematosus",136,90358
"Pathogenic Escherichia coli infection1",59,90435
"Arginine biosynthesis",44,90450
"Histidine metabolism",101,90393
"Autophagy",132,90362
"Arginine and proline metabolism",164,90330
"Acute myeloid leukemia",56,90438
"Bladder cancer",43,90451
"Autoimmune thyroid disease",56,90438
"Pyrimidine metabolism",195,90299
"AGE-RAGE signaling pathway in diabetic complications",109,90385
"Breast cancer",147,90347
"Carbon metabolism",112,90382
"Pentose and glucuronate interconversions",89,90405
"Lysosome",127,90367
"Folate biosynthesis",57,90437
"Insulin resistance",127,90367
"D-Glutamine and D-glutamate metabolism",16,90478
"Sphingolipid metabolism1",189,90305
"Alzheimer's disease",178,90316
"Glycosphingolipid biosynthesis",45,90449
"Primary immunodeficiency",37,90457
"Selenocompound metabolism",44,90450
"Thiamine metabolism",52,90442
"Hepatitis C",139,90355
"Glycosaminoglycan biosynthesis1",59,90435
"beta-Alanine metabolism",84,90410
"Tryptophan metabolism1",233,90261
"Nicotinate and nicotinamide metabolism",108,90386
"Epithelial cell signaling in Helicobacter pylori infection",73,90421
"Phagosome",153,90341
"Huntington's disease",196,90298
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",28,90466
"Glycine, serine and threonine metabolism",90,90404
"Amphetamine addiction",77,90417
"Fatty acid biosynthesis",110,90384
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",74,90420
"Steroid biosynthesis",111,90383
"2-Oxocarboxylic acid metabolism",134,90360
"Chemical carcinogenesis",181,90313
"Pantothenate and CoA biosynthesis",57,90437
"Drug metabolism",221,90273
"Glycerolipid metabolism",117,90377
"Amino sugar and nucleotide sugar metabolism",156,90338
"D-Arginine and D-ornithine metabolism",17,90477
"Antifolate resistance",17,90477
"Staphylococcus aureus infection",68,90426
"Thyroid cancer",29,90465
"Inositol phosphate metabolism1",160,90334
"Malaria",51,90443
"Phosphonate and phosphinate metabolism",62,90432
"Propanoate metabolism",102,90392
"Influenza A",176,90318
"Graft-versus-host disease",43,90451
"Purine metabolism",292,90202
"Neomycin, kanamycin and gentamicin biosynthesis",86,90408
"Pentose phosphate pathway",87,90407
"Pyruvate metabolism1",119,90375
"Valine, leucine and isoleucine degradation",121,90373
"Toxoplasmosis",116,90378
"Allograft rejection",63,90431
"Fatty acid metabolism1",497,89997
"Salmonella infection",90,90404
"Fluid shear stress and atherosclerosis",147,90347
"Glioma",68,90426
"Retinol metabolism",107,90387
"Sulfur metabolism",42,90452
"Legionellosis",57,90437
"Hepatitis B",144,90350
"Renal cell carcinoma",68,90426
"Butanoate metabolism",70,90424
"Taurine and hypotaurine metabolism",39,90455
"Peroxisome",83,90411
"Terpenoid backbone biosynthesis",67,90427
"Caffeine metabolism",42,90452
"Nicotine addiction",47,90447
"Oocyte meiosis",128,90366
"Morphine addiction",99,90395
"Basal cell carcinoma",56,90438
"Chagas disease (American trypanosomiasis)",109,90385
"Parkinson's disease",157,90337
"Vitamin B6 metabolism",44,90450
"Leishmaniasis",80,90414
"Synthesis and degradation of ketone bodies",21,90473
"Mannose type O-glycan biosynthesis",28,90466
"Alcoholism",190,90304
"Primary bile acid biosynthesis",64,90430
"Glycosphingolipid biosynthesis1",45,90449
"Viral carcinogenesis",201,90293
"Pertussis",86,90408
"One carbon pool by folate",29,90465
"Adherens junction",72,90422
"African trypanosomiasis",45,90449
"Other glycan degradation",18,90476
"Drug metabolism1",221,90273
"Glycolysis / Gluconeogenesis",98,90396
"Kaposi's sarcoma-associated herpesvirus infection",178,90316
"Ferroptosis",69,90425
"Glycosphingolipid biosynthesis2",45,90449
"Epstein-Barr virus infection",206,90288
"Inflammatory bowel disease (IBD)",65,90429
"Type I diabetes mellitus",46,90448
"Glutathione metabolism1",121,90373
"p53 signaling pathway",68,90426
"Maturity onset diabetes of the young",26,90468
"Other types of O-glycan biosynthesis",22,90472
"Mucin type O-glycan biosynthesis",32,90462
"Type II diabetes mellitus1",52,90442
"Cell cycle",691,89803
"Colorectal cancer",60,90434
"Tuberculosis",188,90306
"Arachidonic acid metabolism1",236,90258
"Galactose metabolism",93,90401
"Viral myocarditis",59,90435
"Prion diseases",38,90456
"Bacterial invasion of epithelial cells",76,90418
"Alanine, aspartate and glutamate metabolism",63,90431
"Glycerophospholipid metabolism",149,90345
"Lipoic acid metabolism",9,90485
"HTLV-I infection",264,90230
"Endocrine resistance",5,90489
"Gap junction",99,90395
"Central carbon metabolism in cancer",102,90392
"Ascorbate and aldarate metabolism",74,90420
"Fructose and mannose metabolism",87,90407
"Valine, leucine and isoleucine biosynthesis",27,90467
"Transcriptional misregulation in cancer",180,90314
"Metabolism of xenobiotics by cytochrome P450",195,90299
"Ubiquinone and other terpenoid-quinone biosynthesis",101,90393
"Regulation of actin cytoskeleton",235,90259
"Cocaine addiction",56,90438
"Necroptosis",174,90320
"Focal adhesion",242,90252
"Cysteine and methionine metabolism",107,90387
"Choline metabolism in cancer",110,90384
"Porphyrin and chlorophyll metabolism",180,90314
"Asthma",36,90458
"Platinum drug resistance",0,90494
"Proteoglycans in cancer",207,90287
"Fatty acid elongation",65,90429
"Fatty acid degradation",94,90400
"Measles",138,90356
"Biotin metabolism",34,90460
"Rheumatoid arthritis",94,90400
"Cellular senescence",309,90185
"Prostate cancer",98,90396
"MicroRNAs in cancer",299,90195
"Herpes simplex infection",185,90309
"Riboflavin metabolism",42,90452
"Melanoma",70,90424
"Lysine degradation",129,90365
"Signaling pathways regulating pluripotency of stem cells",139,90355
"N-Glycan biosynthesis",56,90438
"Tight junction",171,90323
"Citrate cycle (TCA cycle)",50,90444
"Mitophagy1",81,90413
"Phenylalanine metabolism",89,90405
"Glycosaminoglycan degradation",23,90471
"Starch and sucrose metabolism",95,90399
"Pancreatic cancer",66,90428
"Non-small cell lung cancer",64,90430
"Autophagy1",132,90362
"Biosynthesis of unsaturated fatty acids",77,90417
"Apoptosis2",319,90175
"Amoebiasis",109,90385
"EGFR tyrosine kinase inhibitor resistance",2,90492
"Apoptosis3",319,90175
"Non-alcoholic fatty liver disease (NAFLD)",151,90343
"Tyrosine metabolism",149,90345
"Phenylalanine, tyrosine and tryptophan biosynthesis",40,90454
"Linoleic acid metabolism",57,90437
"Glyoxylate and dicarboxylate metabolism",89,90405
"Endometrial cancer",51,90443
"Hypertrophic cardiomyopathy (HCM)",88,90406
"Ether lipid metabolism",70,90424
"Glycosaminoglycan biosynthesis2",59,90435
"Vitamin K Metabolism1",14,90480
"Etoposide Metabolism Pathway1",14,90480
"Omeprazole Metabolism Pathway1",2,90492
"Lysinuric Protein Intolerance1",8,90486
"Krabbe disease1",39,90455
"Fluorouracil Metabolism Pathway1",1,90493
"Urokinase Pathway1",4,90490
"Lidocaine (Antiarrhythmic) Pathway1",27,90467
"Hyperinsulinism-Hyperammonemia Syndrome1",49,90445
"Azathioprine Metabolism Pathway1",3,90491
"Perindopril Pathway1",8,90486
"Chlorthalidone Pathway1",9,90485
"Netilmicin Pathway1",20,90474
"Vinorelbine Pathway1",6,90488
"2-aminoadipic 2-oxoadipic aciduria1",27,90467
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids1",28,90466
"Heroin Pathway1",13,90481
"Sorafenib Metabolism Pathway1",9,90485
"Fondaparinux Pathway1",5,90489
"Ornithine Aminotransferase Deficiency (OAT Deficiency)1",53,90441
"3-Methylcrotonyl Coa Carboxylase Deficiency Type I1",59,90435
